web-scraper-order,web-scraper-start-url,product,product-href,product-href,price,description,ulasan,img-src
1628311515-409,https://www.tokopedia.com/search?q=handphone+samsung&source=related_keyword&st=product,,https://www.tokopedia.com/techstudioid/resmi-samsung-s21-ultra-512gb-256gb-128gb-indo-s21-plus-s21-s21-5g-128gb-pink?whid=0,(RESMI) Samsung S21 Ultra 512GB 256GB 128GB Indo S21+ Plus S21 - S21 5G 128GB Pink ,Rp10.870.000,Kondisi: BaruBerat: 1.000 GramKategori: Android OSEtalase: SamsungBRAND NEW IN BOX (SEGEL RESMI SAMSUNG) Samsung Galaxy S21 5G IMEI Terdaftar kemenperin (resmi Samsung Indonesia) Garansi Samsung Indonesia 1 tahun (Bisa langsung ke samsung service mana aja) Harga tertera adalah harga TANPA BONUS Samsung S21 Ultra 5G 6.8 inch RAM: 12GB / 16GB ROM: 128GB / 256GB / 512GB Color: Phantom Black / Phantom Silver - Samsung S21 Plus 5G 6.7-inch RAM: 8GB ROM: 128GB / 256GB Color: Phantom Violet / Phantom Black / Phantom Silver - Samsung S21 5G 6.2 inch RAM: 8GB ROM: 128GB / 256GB Color: - Terpercaya! Bisa cek ulasan kami! https://www.tokopedia.com/techstudioid/review Kami Power Merchant 99% transaksi sukses dan rating 4.9/5.0 Tidak perlu khawatir. Kami sudah menjual ribuan produk Hal yang perlu diperhatikan! 1. Termurah 2. Garansi Samsung Resmi 1 tahun (Segel) 3. Accesories tidak ditukar dijamin new dan original 4. Tidak menjual refurbished ataupun barang distributor hanya resmi 5. Bukan seller abal yang menjual barang rekondisi atau yang bisa tiba tiba hilang kapanpunLihat Selengkapnya,4.9/5,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/4/13/97c9d6ed-65fa-45b1-bd3d-19d7bfc29d5f.jpg.webp?ect=4g
1628310995-397,https://www.tokopedia.com/search?q=handphone+samsung&source=related_keyword&st=product,,https://www.tokopedia.com/jikalaku/samsung-galaxy-a52-8-128-garansi-resmi-hitam?whid=0,SAMSUNG GALAXY A52 8/128 GARANSI RESMI - Hitam ,Rp4.735.000,Kondisi: BaruBerat: 325 GramKategori: Android OSEtalase: SAMSUNGKatalog: Samsung Galaxy A52SPESIFIKASI Ukuran layar: 6.5 inches 102.0 cm2 1080 x 2400 pixels 20:9 ratio (~405 ppi density) Super AMOLED 90Hz Memori: RAM 8GB ROM 128GB microSDXC up to 1GB Sistem operasi: Android 11; One UI 3.1 CPU: Qualcomm SM7125 Snapdragon 720G (8 nm) Octa-core (2x2.3 GHz Kryo 465 Gold & 6x1.8 GHz Kryo 465 Silver) GPU: Adreno 618 Kamera Belakang: 64 MP f/1.8 26mm PDAF OIS (wide) 12 MP f/2.2 123 (ultrawide) 5 MP f/2.4 (macro) & 5 MP f/2.4 (depth) Kamera Depan: 32 MP f/2.2 26mm (wide) SIM: Hybrid Dual SIM (Nano-SIM dual stand-by) Baterai: Li-Po 4500 mAh non-removable Berat: 189 gr Garansi ResmiLihat Selengkapnya,4.9/5,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/4/5/1ae64940-c2a9-4971-be74-d8989c071fa9.jpg.webp?ect=4g
1628311032-398,https://www.tokopedia.com/search?q=handphone+samsung&source=related_keyword&st=product,,https://www.tokopedia.com/gudang-hp/samsung-galaxy-a32-8-128-gb-garansi-resmi-sein-white?whid=0,Samsung Galaxy A32 8/128 GB Garansi Resmi SEIN - White,Rp3.534.000,Kondisi: BaruBerat: 500 GramKategori: Android OSEtalase: HP Samsung ResmiKatalog: Samsung Galaxy A32Ready Stock *03 Agustus 2021 SIM Single SIM (Nano-SIM) or Dual SIM (Nano-SIM dual stand-by) Size 6.4 inches 98.9 cm2 (~84.6% screen-to-body ratio) PLATFORM OS Android 11 One UI 3.1 Chipset Mediatek Helio G80 (12 nm) CPU Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55) GPU Mali-G52 MC2 Internal 128GB 8GB RAM MAIN CAMERA Quad 64 MP 8 MP 5 MP 5 MP SELFIE CAMERA Single 20 MP BATTERY Type Li-Ion 5000 mAh non-removableLihat Selengkapnya,4.9/5,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/6/20/ba678172-6c10-4654-8e7d-6ceeb4ee70c3.jpg.webp?ect=4g
1628310663-384,https://www.tokopedia.com/search?q=handphone+samsung&source=related_keyword&st=product,,https://www.tokopedia.com/best-phone-cell/samsung-galaxy-a31-ram-6-128-gb-garansi-resmi-hitam?whid=0,Samsung Galaxy A31 Ram 6/128 GB - Garansi Resmi - Hitam,Rp2.920.000,"Kondisi: BaruBerat: 500 GramKategori: Android OSEtalase: SAMSUNGKatalog: Samsung Galaxy A31NETWORK Technology GSM / HSPA / LTE LAUNCH Announced 2020 March 24 Status Available. Released 2020 April 27 BODY Dimensions 159.3 x 73.1 x 8.6 mm (6.27 x 2.88 x 0.34 in) Weight 185 g (6.53 oz) SIM Single SIM (Nano-SIM) or Dual SIM (Nano-SIM dual stand-by) DISPLAY Type Super AMOLED capacitive touchscreen 16M colors Size 6.4 inches 98.9 cm2 (~84.9% screen-to-body ratio) Resolution 1080 x 2400 pixels 20:9 ratio (~411 ppi density) PLATFORM OS Android 10; One UI 2.0 CPU Octa-core (2x2.0 GHz & 6x1.7 GHz) MEMORY Card slot microSDXC (dedicated slot) Internal 128GB 6GB RAM MAIN CAMERA Quad 48 MP f/2.0 26mm (wide) 1/2.0"" 0.8µm PDAF 8 MP f/2.2 13mm (ultrawide) 1/4.0"" 1.12µm 5 MP f/2.4 (macro) 5 MP f/2.4 (depth) Features LED flash panorama HDR Video 1080p@30fps SELFIE CAMERA Single 20 MP f/2.2 (wide) Video 1080p@30fps SOUND Loudspeaker Yes 3.5mm jack Yes COMMS WLAN Wi-Fi 802.11 a/b/g/n/ac dual-band Wi-Fi Direct hotspot Bluetooth 5.0 A2DP LE GPS Yes with A-GPS GLONASS GALILEO BDS NFC Yes (market/region dependent) USB 2.0 Type-C 1.0 reversible connector USB On-The-Go FEATURES Sensors Fingerprint (under display optical) accelerometer gyro proximity compass BATTERY Non-removable Li-Po 5000 mAh battery Charging Fast charging 15WLihat Selengkapnya",4.9/5,https://images.tokopedia.net/img/cache/100-square/attachment/2021/3/24/65580410/65580410_d65b5ee7-1f36-4fd8-9eb7-c2508bcda3e5.jpg.webp?ect=4g
1628310767-388,https://www.tokopedia.com/search?q=handphone+samsung&source=related_keyword&st=product,,https://www.tokopedia.com/indokom/samsung-galaxy-m12-4gb-64gb-black?whid=0,Samsung Galaxy M12 4GB/64GB - Black,Rp1.949.000,Kondisi: BaruBerat: 500 GramKategori: Android OSEtalase: SamsungKatalog: Samsung Galaxy M12Garansi Resmi 1 Tahun SEIN Spesifikasi : Network :GSM / HSPA / LTE Dimensions :164.0 x 75.9 x 9.7 Weight :214g SIM :Dual SIM (Nano-SIM dual stand-by) Display :PLS TFT LCD Size :6.5 inches Resolution :720 x 1600 (HD+) OS :Andorid 11 Chipset :Exynos 850 (8nm) CPU :Octa-core (4x2.0 GHz Cortex-A55 & 4x2.0 GHz Cortex-A55) GPU :Mali-G52 Card slot :microSDXC (dedicated slot) Main Camera :Quad 48MP + 5MP + 2MP + 2MP Selfie Camera :8MP Sensors :Accelerometer Fingerprint Sensor Virtual Light Sensing Virtual Proximity Sensing Battery :5000 mAhLihat Selengkapnya,5.0/5,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/5/7/14dff7bb-524a-4e9c-b492-65322bf04a93.png.webp?ect=4g
1628311561-410,https://www.tokopedia.com/search?q=handphone+samsung&source=related_keyword&st=product,,https://www.tokopedia.com/etindostore/samsung-galaxy-a52-8-128-gb-garansi-resmi-sein-hitam?whid=0,Samsung Galaxy A52 8/128 GB Garansi Resmi SEIN - Hitam,Rp4.729.000,Kondisi: BaruBerat: 500 GramKategori: Android OSEtalase: SamsungHai selamat datang di Etindo Store! Kenapa pilih Etindo Store? 1. Produk bisa dicheckout DIJAMIN READY. Kami tidak akan tampilkan apabila stok tidak tersedia/habis. 2. PROSES PESANAN CEPAT. 3. Produk DIJAMIN ORIGINAL. WAKTU PEMROSESAN PESANAN: Semua pesanan akan kami kirim di hari yang sama* kecuali Hari Libur Nasional paling lambat dikirim H+1. JADWAL PENGIRIMAN: INSTANT (GoSend GrabExpress) Pesanan yang lewat dari pukul 17.00 WIB secara otomatis dikirimkan H+1. Mohon konfirmasi pada kami terlebih dahulu apabila memilih opsi INSTANT. SAME DAY Pesanan yang lewat dari pukul: - 14.00 WIB (AnterAja) - 16.00 WIB (GoSend GrabExpress) secara otomatis dikirimkan H+1. Mohon konfirmasi pada kami terlebih dahulu apabila memilih opsi SAME DAY. ----- Samsung Galaxy A52 8/128 GB Garansi Resmi SEIN Warna: - Hitam = Awesome Black - Putih = Awesome White - Biru = Awesome Blue - Ungu = Awesome Violet Jangan ragu belanja di Etindo Store! Produk ini kami jamin: 1. BNIB (Brand New In Box) MASIH SEGEL 2. Dijamin Original 100% 3. Garansi Resmi Samsung Electronics Indonesia (SEIN) 4. IMEI pasti TERDAFTAR Apabila anda masih ragu akan keamanan berbelanja di toko kami silahkan membaca ulasan untuk mengenal reputasi toko kami: https://www.tokopedia.com/etindostore/review Terima kasih sudah berbelanja di Etindo Store!Lihat Selengkapnya,5.0/5,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/6/14/d874ace3-81a5-4083-b715-918ca58d70a5.jpg.webp?ect=4g
1628311487-408,https://www.tokopedia.com/search?q=handphone+samsung&source=related_keyword&st=product,,https://www.tokopedia.com/garasii/samsung-galaxy-a02-3-32-gb-3gb-32gb-garansi-resmi-sein-hitam?whid=0,Samsung Galaxy A02 3/32 GB 3GB 32GB Garansi Resmi SEIN - Hitam,Rp1.424.000,Kondisi: BaruBerat: 400 GramKategori: Android OSEtalase: SamsungKatalog: Samsung Galaxy A02NETWORK Technology GSM / HSPA / LTE LAUNCH Announced 2021 January 27 Status Available. Released 2021 January 27 BODY Dimensions 164 x 75.9 x 9.1 mm (6.46 x 2.99 x 0.36 in) Weight 206 g (7.27 oz) Build Glass front plastic back plastic frame SIM Single SIM (Nano-SIM) or Dual SIM (Nano-SIM dual stand-by) DISPLAY Type PLS IPS Size 6.5 inches 102.0 cm2 (~81.9% screen-to-body ratio) Resolution 720 x 1600 pixels 20:9 ratio (~270 ppi density) PLATFORM OS Android 10 One UI 2.0 Chipset Mediatek MT6739W (28 nm) CPU Quad-core 1.5 GHz Cortex-A53 GPU PowerVR GE8100 MEMORY Card slot microSDXC (dedicated slot) Internal 32GB 3GB RAM eMMC 5.1 MAIN CAMERA Dual 13 MP f/1.9 (wide) AF 2 MP f/2.4 (macro) Features LED flash Video 1080p@30fps SELFIE CAMERA Single 5 MP f/2.0 Video SOUND Loudspeaker Yes 3.5mm jack Yes COMMS WLAN Wi-Fi 802.11 b/g/n Wi-Fi Direct hotspot Bluetooth 5.1 A2DP LE GPS Yes with A-GPS GLONASS NFC No Radio FM radio USB microUSB 2.0 FEATURES Sensors Accelerometer proximity BATTERY Type Li-Po 5000 mAh non-removableLihat Selengkapnya,4.9/5,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/2/17/4dd7c192-45e6-4ad6-a8e7-aa0593bee3a2.jpg.webp?ect=4g
1628311297-401,https://www.tokopedia.com/search?q=handphone+samsung&source=related_keyword&st=product,,https://www.tokopedia.com/gudang-hp/samsung-galaxy-a12-6-128-gb-garansi-resmi-sein-biru?whid=0,Samsung Galaxy A12 6/128 GB Garansi Resmi SEIN - Biru,Rp2.523.000,Kondisi: BaruBerat: 500 GramKategori: Android OSEtalase: HP Samsung ResmiReady Stock *03 Agustus 2021 SIM Single SIM (Nano-SIM) or Dual SIM (Nano-SIM dual stand-by) Size 6.5 inches PLATFORM OS Android 10 Chipset Mediatek MT6765 Helio P35 (12nm) CPU Octa-core (4x2.35 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53) GPU PowerVR GE8320 Internal 128GB 6GB RAM MAIN CAMERA Quad 48 MP 5 MP 2 MP 2 MP SELFIE CAMERA Single 8 MP f/2.2 BATTERY Type Li-Po 5000 mAh non-removableLihat Selengkapnya,4.9/5,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2020/12/29/520f7c61-b341-42e1-a829-9cb4cc5b1677.jpg.webp?ect=4g
1628310919-394,https://www.tokopedia.com/search?q=handphone+samsung&source=related_keyword&st=product,,https://www.tokopedia.com/gudang-hp/samsung-galaxy-a52-8-256-gb-garansi-resmi-sein-hitam?whid=0,Samsung Galaxy A52 8/256 GB Garansi Resmi SEIN - Hitam,Rp5.143.000,Kondisi: BaruBerat: 500 GramKategori: Android OSEtalase: HP Samsung ResmiKatalog: Samsung Galaxy A52Ready Stock *08 July 2021 SIM Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM dual stand-by) DISPLAY Type Super AMOLED 90Hz 800 nits (peak) Size 6.5 inches 102.0 cm2 (~84.9% screen-to-body ratio) PLATFORM OS Android 11 One UI 3.1 Chipset Qualcomm SM7125 Snapdragon 720G (8 nm) CPU Octa-core (2x2.3 GHz Kryo 465 Gold & 6x1.8 GHz Kryo 465 Silver) GPU Adreno 618 Internal 256GB 8GB RAM MAIN CAMERA Quad 64 MP 12 MP 5 MP 5 MP SELFIE CAMERA Single 32 MP BATTERY Type Li-Po 4500 mAh non-removableLihat Selengkapnya,4.9/5,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/6/21/ac7c0510-0d4d-41b9-91b1-c688f2a067d1.jpg.webp?ect=4g
1628309890-373,https://www.tokopedia.com/search?q=handphone+samsung&source=related_keyword&st=product,,https://www.tokopedia.com/pluto-olhp/samsung-galaxy-a72-8-128gb-8-256gb-grs-resmi-sein-awesome-black-a72-8-128gb?whid=0,Samsung Galaxy A72 8/128Gb | 8/256Gb - Grs resmi Sein - Awesome Black A72 8/128Gb,Rp5.799.000,"Kondisi: BaruBerat: 500 GramKategori: Android OSEtalase: SamsungKatalog: Samsung Galaxy A72Samsung Galaxy A72 4G Varian 8/128Gb dan 8/256Gb Imei Terdaftar Garansi resmi samsung 1thn Ready Awesome Black White Blue Violet White Pilih sesuai varian dan warna NETWORKTechnologyGSM / HSPA / LTE / 2G bandsGSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)3G bandsHSDPA 850 / 900 / 1700(AWS) / 1900 / 21004G bandsLTE (unspecified) bandsSA/NSASpeedHSPA 42.2/5.76 Mbps LTE-A LAUNCHAnnouncedNot announced yetStatusRumoredBODYDimensions165 x 77.4 x 8.4 mm (6.50 x 3.05 x 0.33 in)Weight203 g (7.16 oz)SIMSingle SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM dual stand-by)DISPLAYTypeSuper AMOLED 120Hz 800 nits (peak)Size6.7 inches 108.4 cm2 (~84.9% screen-to-body ratio)Resolution1080 x 2400 pixels 20:9 ratio (~393 ppi density)ProtectionUnspecifiedPLATFORMOSAndroid 11 One UI 3.1ChipsetQualcomm SM7225 Snapdragon 750G 5G (8 nm)CPUOcta-core (2x2.2 GHz Kryo 570 & 6x1.8 GHz Kryo 570)GPUAdreno 619MEMORYCard slotmicroSDXC (uses shared SIM slot)Internal128GB 6GB RAM 256GB 8GB RAMMAIN CAMERAQuad64 MP f/1.8 26mm (wide) 1/1.7X"" 0.8µm PDAF OIS 8 MP f/2.4 (telephoto) 1.0µm PDAF OIS 3x optical zoom 12 MP f/2.2 123˚ (ultrawide) 1.12µm 5 MP f/2.4 (macro)FeaturesLED flash panorama HDRVideo4K@30fps 1080p@30/120fps; gyro-EISSELFIE CAMERASingle32 MP f/2.2 26mm (wide) 1/2.8"" 0.8µmFeaturesHDRVideo4K@30fps 1080p@30fpsSOUNDLoudspeakerYes with stereo speakers3.5mm jackYesCOMMSWLANWi-Fi 802.11 a/b/g/n/ac dual-band Wi-Fi Direct hotspotBluetooth5.0 A2DP LEGPSYes with A-GPS GLONASS GALILEO BDSNFCYes (market/region dependent)RadioUnspecifiedUSBUSB Type-C 2.0 USB On-The-GoFEATURESSensorsFingerprint (under display optical) accelerometer gyro proximity compassMessagingSMS(threaded view) MMS Email Push Email IMBrowserHTML5 ANT+BATTERYTypeLi-Ion 5000 mAh non-removableChargingFast charging 25WLihat Selengkapnya",5.0/5,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/3/18/38aebe42-ed95-4465-970e-acb1f13cbf58.jpg.webp?ect=4g
